ID,Qutab Minar,Chhattarpur,Sultanpur,Ghitorni,Arjan Garh,Gurudronacharya,Sikanderpur,MG Road,IFFCO Chowk,Huda City Centre
11629,9:34pm,9:37pm,9:40pm,9:42pm,9:46pm,9:49pm,9:51pm,9:54pm,9:56pm,9:59pm
11630,9:37pm,9:40pm,9:42pm,9:45pm,9:48pm,9:52pm,9:54pm,9:57pm,9:59pm,10:02pm
11631,9:40pm,9:42pm,9:45pm,9:48pm,9:51pm,9:55pm,9:57pm,9:59pm,10:02pm,10:04pm
11632,9:43pm,9:45pm,9:48pm,9:51pm,9:54pm,9:58pm,10:00pm,10:02pm,10:05pm,10:07pm
11633,9:46pm,9:48pm,9:51pm,9:53pm,9:57pm,10:01pm,10:03pm,10:05pm,10:08pm,10:10pm
11634,9:48pm,9:51pm,9:54pm,9:56pm,10:00pm,10:03pm,10:06pm,10:08pm,10:11pm,10:13pm
11635,9:51pm,9:54pm,9:57pm,9:59pm,10:03pm,10:06pm,10:08pm,10:11pm,10:14pm,10:16pm
11636,9:54pm,9:57pm,10:00pm,10:02pm,10:06pm,10:09pm,10:11pm,10:14pm,10:16pm,10:19pm
11637,9:57pm,10:00pm,10:02pm,10:05pm,10:08pm,10:12pm,10:14pm,10:17pm,10:19pm,10:22pm
11638,10:00pm,10:02pm,10:05pm,10:08pm,10:11pm,10:15pm,10:17pm,10:19pm,10:22pm,10:24pm
11639,10:03pm,10:05pm,10:08pm,10:11pm,10:14pm,10:18pm,10:20pm,10:22pm,10:25pm,10:27pm
11640,10:06pm,10:08pm,10:11pm,10:14pm,10:17pm,10:21pm,10:23pm,10:25pm,10:28pm,10:30pm
11641,10:08pm,10:11pm,10:14pm,10:16pm,10:20pm,10:24pm,10:26pm,10:28pm,10:31pm,10:33pm
11642,10:11pm,10:14pm,10:17pm,10:19pm,10:23pm,10:26pm,10:29pm,10:31pm,10:34pm,10:36pm
11643,10:14pm,10:17pm,10:20pm,10:22pm,10:26pm,10:29pm,10:31pm,10:34pm,10:36pm,10:39pm
11644,10:17pm,10:20pm,10:23pm,10:25pm,10:29pm,10:32pm,10:34pm,10:37pm,10:39pm,10:42pm
11645,10:20pm,10:23pm,10:25pm,10:28pm,10:31pm,10:35pm,10:37pm,10:40pm,10:42pm,10:45pm
11646,10:23pm,10:25pm,10:28pm,10:31pm,10:34pm,10:38pm,10:40pm,10:42pm,10:45pm,10:47pm
11647,10:26pm,10:28pm,10:31pm,10:34pm,10:37pm,10:41pm,10:43pm,10:45pm,10:48pm,10:50pm
11648,10:29pm,10:31pm,10:34pm,10:36pm,10:40pm,10:44pm,10:46pm,10:48pm,10:51pm,10:53pm
11649,10:31pm,10:34pm,10:37pm,10:39pm,10:43pm,10:46pm,10:49pm,10:51pm,10:54pm,10:56pm
11650,10:34pm,10:37pm,10:40pm,10:42pm,10:46pm,10:49pm,10:51pm,10:54pm,10:57pm,10:59pm
11651,10:37pm,10:40pm,10:43pm,10:45pm,10:49pm,10:52pm,10:54pm,10:57pm,10:59pm,11:02pm
11652,10:40pm,10:43pm,10:45pm,10:48pm,10:51pm,10:55pm,10:57pm,11:00pm,11:02pm,11:05pm
11653,10:43pm,10:45pm,10:48pm,10:51pm,10:54pm,10:58pm,11:00pm,11:02pm,11:05pm,11:07pm
11654,10:46pm,10:48pm,10:51pm,10:54pm,10:57pm,11:01pm,11:03pm,11:05pm,11:08pm,11:10pm
11655,10:49pm,10:51pm,10:54pm,10:57pm,11:00pm,11:04pm,11:06pm,11:08pm,11:11pm,11:13pm
11656,10:51pm,10:54pm,10:57pm,10:59pm,11:03pm,11:07pm,11:09pm,11:11pm,11:14pm,11:16pm
11657,10:54pm,10:57pm,11:00pm,11:02pm,11:06pm,11:09pm,11:12pm,11:14pm,11:17pm,11:19pm
11658,10:57pm,11:00pm,11:03pm,11:05pm,11:09pm,11:12pm,11:14pm,11:17pm,11:19pm,11:22pm
11659,11:00pm,11:03pm,11:06pm,11:08pm,11:12pm,11:15pm,11:17pm,11:20pm,11:22pm,11:25pm
11660,11:03pm,11:06pm,11:08pm,11:11pm,11:14pm,11:18pm,11:20pm,11:23pm,11:25pm,11:28pm
11661,11:06pm,11:08pm,11:11pm,11:14pm,11:17pm,11:21pm,11:23pm,11:25pm,11:28pm,11:30pm
11662,11:09pm,11:11pm,11:14pm,11:17pm,11:20pm,11:24pm,11:26pm,11:28pm,11:31pm,11:33pm
11663,11:12pm,11:14pm,11:17pm,11:19pm,11:23pm,11:27pm,11:29pm,11:31pm,11:34pm,11:36pm
11664,11:14pm,11:17pm,11:20pm,11:22pm,11:26pm,11:29pm,11:32pm,11:34pm,11:37pm,11:39pm
11665,11:17pm,11:20pm,11:23pm,11:25pm,11:29pm,11:32pm,11:34pm,11:37pm,11:40pm,11:42pm
