ID,Huda City Centre,IFFCO Chowk,MG Road,Sikanderpur,Gurudronacharya,Arjan Garh,Ghitorni,Sultanpur,Chhattarpur,Qutab Minar
2330,4:48pm,4:50pm,4:53pm,4:55pm,4:57pm,5:01pm,5:04pm,5:07pm,5:10pm,5:12pm
2331,4:51pm,4:53pm,4:56pm,4:58pm,5:00pm,5:04pm,5:07pm,5:10pm,5:13pm,5:15pm
2332,4:53pm,4:56pm,4:58pm,5:01pm,5:03pm,5:07pm,5:10pm,5:13pm,5:15pm,5:18pm
2333,4:56pm,4:59pm,5:01pm,5:04pm,5:06pm,5:09pm,5:13pm,5:15pm,5:18pm,5:21pm
2334,4:59pm,5:02pm,5:04pm,5:07pm,5:09pm,5:12pm,5:16pm,5:18pm,5:21pm,5:24pm
2335,5:02pm,5:04pm,5:07pm,5:10pm,5:12pm,5:15pm,5:19pm,5:21pm,5:24pm,5:27pm
2336,5:17pm,5:19pm,5:22pm,5:24pm,5:26pm,5:30pm,5:34pm,5:36pm,5:39pm,5:42pm
2337,5:32pm,5:34pm,5:37pm,5:39pm,5:41pm,5:45pm,5:48pm,5:51pm,5:54pm,5:56pm
2338,5:46pm,5:49pm,5:51pm,5:54pm,5:56pm,6:00pm,6:03pm,6:06pm,6:08pm,6:11pm
2339,6:01pm,6:04pm,6:06pm,6:09pm,6:11pm,6:14pm,6:18pm,6:20pm,6:23pm,6:26pm
2340,6:16pm,6:18pm,6:21pm,6:24pm,6:26pm,6:29pm,6:33pm,6:35pm,6:38pm,6:41pm
2341,6:31pm,6:33pm,6:36pm,6:38pm,6:40pm,6:44pm,6:48pm,6:50pm,6:53pm,6:56pm
2342,6:46pm,6:48pm,6:51pm,6:53pm,6:55pm,6:59pm,7:02pm,7:05pm,7:08pm,7:10pm
2343,7:00pm,7:03pm,7:05pm,7:08pm,7:10pm,7:14pm,7:17pm,7:20pm,7:22pm,7:25pm
2344,7:15pm,7:18pm,7:20pm,7:23pm,7:25pm,7:28pm,7:32pm,7:34pm,7:37pm,7:40pm
2345,7:30pm,7:32pm,7:35pm,7:38pm,7:40pm,7:43pm,7:47pm,7:49pm,7:52pm,7:55pm
2346,7:45pm,7:47pm,7:50pm,7:52pm,7:54pm,7:58pm,8:02pm,8:04pm,8:07pm,8:10pm
2347,8:00pm,8:02pm,8:05pm,8:07pm,8:09pm,8:13pm,8:16pm,8:19pm,8:22pm,8:24pm
2348,8:14pm,8:17pm,8:19pm,8:22pm,8:24pm,8:28pm,8:31pm,8:34pm,8:36pm,8:39pm
2349,8:29pm,8:32pm,8:34pm,8:37pm,8:39pm,8:42pm,8:46pm,8:48pm,8:51pm,8:54pm
2350,8:44pm,8:46pm,8:49pm,8:52pm,8:54pm,8:57pm,9:01pm,9:03pm,9:06pm,9:09pm
2351,8:59pm,9:01pm,9:04pm,9:06pm,9:08pm,9:12pm,9:16pm,9:18pm,9:21pm,9:24pm
2352,9:14pm,9:16pm,9:19pm,9:21pm,9:23pm,9:27pm,9:30pm,9:33pm,9:36pm,9:38pm
2353,9:17pm,9:19pm,9:22pm,9:24pm,9:26pm,9:30pm,9:33pm,9:36pm,9:39pm,9:41pm
2354,9:19pm,9:22pm,9:24pm,9:27pm,9:29pm,9:33pm,9:36pm,9:39pm,9:41pm,9:44pm
2355,9:22pm,9:25pm,9:27pm,9:30pm,9:32pm,9:35pm,9:39pm,9:41pm,9:44pm,9:47pm
2356,9:25pm,9:27pm,9:30pm,9:33pm,9:35pm,9:38pm,9:42pm,9:44pm,9:47pm,9:50pm
2357,9:28pm,9:30pm,9:33pm,9:35pm,9:38pm,9:41pm,9:45pm,9:47pm,9:50pm,9:53pm
2358,9:31pm,9:33pm,9:36pm,9:38pm,9:40pm,9:44pm,9:48pm,9:50pm,9:53pm,9:56pm
2359,9:34pm,9:36pm,9:39pm,9:41pm,9:43pm,9:47pm,9:50pm,9:53pm,9:56pm,9:58pm
2360,9:37pm,9:39pm,9:42pm,9:44pm,9:46pm,9:50pm,9:53pm,9:56pm,9:59pm,10:01pm
2361,9:39pm,9:42pm,9:44pm,9:47pm,9:49pm,9:53pm,9:56pm,9:59pm,10:01pm,10:04pm
2362,9:42pm,9:45pm,9:47pm,9:50pm,9:52pm,9:55pm,9:59pm,10:01pm,10:04pm,10:07pm
2363,9:45pm,9:48pm,9:50pm,9:53pm,9:55pm,9:58pm,10:02pm,10:04pm,10:07pm,10:10pm
2364,9:48pm,9:50pm,9:53pm,9:56pm,9:58pm,10:01pm,10:05pm,10:07pm,10:10pm,10:13pm
2365,9:51pm,9:53pm,9:56pm,9:58pm,10:00pm,10:04pm,10:08pm,10:10pm,10:13pm,10:16pm
2366,9:54pm,9:56pm,9:59pm,10:01pm,10:03pm,10:07pm,10:11pm,10:13pm,10:16pm,10:18pm
2367,9:57pm,9:59pm,10:02pm,10:04pm,10:06pm,10:10pm,10:13pm,10:16pm,10:19pm,10:21pm
2368,10:00pm,10:02pm,10:05pm,10:07pm,10:09pm,10:13pm,10:16pm,10:19pm,10:22pm,10:24pm
2369,10:02pm,10:05pm,10:07pm,10:10pm,10:12pm,10:16pm,10:19pm,10:22pm,10:24pm,10:27pm
2370,10:05pm,10:08pm,10:10pm,10:13pm,10:15pm,10:18pm,10:22pm,10:24pm,10:27pm,10:30pm
2371,10:08pm,10:10pm,10:13pm,10:16pm,10:18pm,10:21pm,10:25pm,10:27pm,10:30pm,10:33pm
2372,10:11pm,10:13pm,10:16pm,10:18pm,10:21pm,10:24pm,10:28pm,10:30pm,10:33pm,10:36pm
2373,10:14pm,10:16pm,10:19pm,10:21pm,10:23pm,10:27pm,10:31pm,10:33pm,10:36pm,10:39pm
2374,10:17pm,10:19pm,10:22pm,10:24pm,10:26pm,10:30pm,10:33pm,10:36pm,10:39pm,10:41pm
2375,10:20pm,10:22pm,10:25pm,10:27pm,10:29pm,10:33pm,10:36pm,10:39pm,10:42pm,10:44pm
2376,10:22pm,10:25pm,10:27pm,10:30pm,10:32pm,10:36pm,10:39pm,10:42pm,10:44pm,10:47pm
2377,10:25pm,10:28pm,10:30pm,10:33pm,10:35pm,10:38pm,10:42pm,10:44pm,10:47pm,10:50pm
2378,10:28pm,10:31pm,10:33pm,10:36pm,10:38pm,10:41pm,10:45pm,10:47pm,10:50pm,10:53pm
2379,10:31pm,10:33pm,10:36pm,10:39pm,10:41pm,10:44pm,10:48pm,10:50pm,10:53pm,10:56pm
